iter	Logloss
0	0.6878804161
1	0.6828436267
2	0.6778432826
3	0.6729348084
4	0.6681408979
5	0.6634705302
6	0.6589448785
7	0.6544862187
8	0.6501281661
9	0.6459135217
10	0.6417932434
11	0.6377479709
12	0.6338423118
13	0.6299730875
14	0.6262603189
15	0.6226395272
16	0.6190358815
17	0.615644748
18	0.6122138101
19	0.6089024914
20	0.6054896802
21	0.6023215654
22	0.5993213932
23	0.5963304063
24	0.5932148228
25	0.5902618357
26	0.5873432253
27	0.584462926
28	0.5816451169
29	0.5788829911
30	0.5761861576
31	0.5735938941
32	0.5710452521
33	0.5686254053
34	0.5661138626
35	0.5635921256
36	0.5612961136
37	0.5590126918
38	0.5566392555
39	0.5544642673
40	0.5521960975
41	0.5499374204
42	0.5477428014
43	0.5455154972
44	0.5435601388
45	0.5415793143
46	0.5394878445
47	0.5373972674
48	0.5355907232
49	0.5336888831
50	0.5318539654
51	0.5301150305
52	0.5285917566
53	0.5269492671
54	0.525110776
55	0.5235485496
56	0.5220198543
57	0.5205005719
58	0.5189463117
59	0.5173093724
60	0.5157669795
61	0.5144437932
62	0.5130243614
63	0.5114900575
64	0.5100920065
65	0.5086957587
66	0.5074638761
67	0.5061832051
68	0.5048993859
69	0.5035043536
70	0.5021327372
71	0.5007796165
72	0.4994406386
73	0.4981162567
74	0.4967582555
75	0.4954793064
76	0.4942477473
77	0.4931043985
78	0.4918269795
79	0.4905633529
80	0.4894001568
81	0.4881697902
82	0.4871141547
83	0.4860229746
84	0.4850478486
85	0.4839782133
86	0.48297616
87	0.4819094355
88	0.4808220837
89	0.4798385641
90	0.4789372951
91	0.4779347843
92	0.4769811862
93	0.4760902601
94	0.4751180221
95	0.4743568657
96	0.473599904
97	0.4727205469
98	0.4719856902
99	0.4712301894
100	0.4704754219
101	0.4697283532
102	0.4690171248
103	0.4682596366
104	0.4675419446
105	0.4667908781
106	0.466148238
107	0.4654512868
108	0.4648363137
109	0.464215148
110	0.4636217836
111	0.46300799
112	0.4623605659
113	0.4617410098
114	0.461198686
115	0.4605730527
116	0.4598698986
117	0.4592428846
118	0.4585836423
119	0.4579912795
120	0.4573386459
121	0.4566505015
122	0.4560871837
123	0.4554894426
124	0.4548103781
125	0.4541319407
126	0.4535435248
127	0.4530175967
128	0.4524027689
129	0.451915455
130	0.4513656819
131	0.4508821927
132	0.4503025488
133	0.4498097118
134	0.4493340321
135	0.4488392739
136	0.4483651776
137	0.4478992431
138	0.4474311938
139	0.4469262616
140	0.4465249584
141	0.4460244201
142	0.4456214492
143	0.4452311962
144	0.444807848
145	0.4443923599
146	0.4439658782
147	0.4435053918
148	0.4431337476
149	0.4427458705
150	0.4423507501
151	0.4419161099
152	0.4415455226
153	0.4411906819
154	0.4408102696
155	0.4404069081
156	0.4400458146
157	0.4397104323
158	0.439375196
159	0.4390127063
160	0.4386812103
161	0.4383805066
162	0.4380553236
163	0.4377154758
164	0.4374639115
165	0.4371926429
166	0.4369131466
167	0.43666243
168	0.4363654375
169	0.4360726068
170	0.4357832563
171	0.4354669767
172	0.435180866
173	0.4348831509
174	0.4345406812
175	0.4342775913
176	0.4339771113
177	0.4336952549
178	0.4334158263
179	0.4331640641
180	0.4329075501
181	0.4326337539
182	0.4323891374
183	0.4321336193
184	0.4318721222
185	0.4316310194
186	0.4313467708
187	0.4311510333
188	0.4309702003
189	0.4307479763
190	0.4304890234
191	0.4302171248
192	0.4300055235
193	0.4298121857
194	0.4295753904
195	0.4293798919
196	0.4291813887
197	0.4289187984
198	0.4286896147
199	0.4284836856
200	0.428275517
201	0.4280843163
202	0.4279055355
203	0.4276590424
204	0.4274475142
205	0.4272891332
206	0.4270778297
207	0.4268891327
208	0.4266475021
209	0.4264732786
210	0.426220354
211	0.4259957601
212	0.425830274
213	0.4256660109
214	0.425488019
215	0.4252920365
216	0.4251490173
217	0.4249033612
218	0.4246872787
219	0.4245558517
220	0.4243168882
221	0.4241727606
222	0.4240149289
223	0.4238413465
224	0.4237079685
225	0.4235629428
226	0.4233536116
227	0.4231780671
228	0.4230335308
229	0.4228994869
230	0.4226513725
231	0.4224584592
232	0.4222785936
233	0.4220543174
234	0.4218776262
235	0.4217173409
236	0.4216097761
237	0.4215010137
238	0.4213533373
239	0.4212373101
240	0.4210938423
241	0.4209988872
242	0.4207910532
243	0.4206610253
244	0.4205402904
245	0.4204189004
246	0.4203113742
247	0.4201132614
248	0.4200179352
249	0.419854173
250	0.4197196251
251	0.4195884157
252	0.4194524559
253	0.4193483287
254	0.419243503
255	0.4191400821
256	0.4190287652
257	0.4189365527
258	0.4188010078
259	0.4186435251
260	0.418491919
261	0.4183349375
262	0.418134166
263	0.4179396267
264	0.4178481266
265	0.417672634
266	0.4175254098
267	0.4173667583
268	0.4172866536
269	0.4171424954
270	0.417056549
271	0.4169654371
272	0.4168553755
273	0.4167568736
274	0.4166018694
275	0.4165183958
276	0.4163761425
277	0.4162924132
278	0.4162053492
279	0.4161253982
280	0.4160192324
281	0.415917269
282	0.4157873639
283	0.4157050491
284	0.4155826308
285	0.4154582796
286	0.4153200899
287	0.415213164
288	0.4151449471
289	0.4150401811
290	0.4149042234
291	0.4148141986
292	0.4146969452
293	0.4145925953
294	0.414527353
295	0.4144615293
296	0.414380447
297	0.4142759256
298	0.4141999147
299	0.4140497705
300	0.4139624668
301	0.4138615723
302	0.4137760959
303	0.4136743522
304	0.4136161337
305	0.4135552981
306	0.4134863574
307	0.4134146262
308	0.413323433
309	0.4132474788
310	0.413191736
311	0.4131036882
312	0.4130375037
313	0.4129605699
314	0.4128036331
315	0.4126769081
316	0.4125999006
317	0.4125207519
318	0.4124524082
319	0.4123736673
320	0.4122888719
321	0.4122296749
322	0.4120944399
323	0.4120289509
324	0.4119465412
325	0.4118770291
326	0.4117760933
327	0.4116699838
328	0.4115956383
329	0.411535904
330	0.4114799839
331	0.4114176476
332	0.4112966864
333	0.4111602922
334	0.4110463108
335	0.4109715403
336	0.410880576
337	0.4107747926
338	0.4107084135
339	0.4106457488
340	0.4105548254
341	0.410484541
342	0.4104255988
343	0.4103616658
344	0.4103061961
345	0.4102399589
346	0.4100791522
347	0.4100092394
348	0.4099022435
349	0.409844037
350	0.4097862181
351	0.4096733745
352	0.4095785429
353	0.4095281676
354	0.4094723828
355	0.4094122161
356	0.4093334227
357	0.4092364215
358	0.4091878365
359	0.4090840053
360	0.409030622
361	0.4089835396
362	0.4088771608
363	0.4088231565
364	0.4087848222
365	0.4086816172
366	0.4086236343
367	0.4085473465
368	0.4084798487
369	0.4084211364
370	0.4083590035
371	0.4082746225
372	0.4082295365
373	0.4081325791
374	0.4080732678
375	0.408004837
376	0.4079600714
377	0.4078843878
378	0.4078382121
379	0.4077946028
380	0.4077189044
381	0.407633058
382	0.4075014295
383	0.4073796869
384	0.4073240227
385	0.407281365
386	0.4072370159
387	0.4071504203
388	0.4070849393
389	0.4070223399
390	0.4069632181
391	0.4068673226
392	0.4068275335
393	0.4067799345
394	0.4067014741
395	0.4066212914
396	0.4065812726
397	0.4064977948
398	0.4063537066
399	0.4063075706
400	0.4062646449
401	0.40622567
402	0.4061684976
403	0.4060919935
404	0.4060263934
405	0.4059709057
406	0.4059143952
407	0.4058759599
408	0.4057640261
409	0.4057237163
410	0.4056479322
411	0.4055683356
412	0.4055257644
413	0.4054733913
414	0.4054155793
415	0.405354859
416	0.4053085528
417	0.4052472276
418	0.4051966511
419	0.4051635936
420	0.4051083668
421	0.4050349501
422	0.4049271525
423	0.4048922686
424	0.4048041303
425	0.4047392229
426	0.4046429734
427	0.4045608472
428	0.4045240028
429	0.4044616399
430	0.404426836
431	0.4043391478
432	0.404264554
433	0.4042020214
434	0.4041509475
435	0.4040823927
436	0.4040268248
437	0.4039941464
438	0.40389628
439	0.4038214894
440	0.4037467984
441	0.4037169446
442	0.4036641469
443	0.4036371757
444	0.4036131947
445	0.4035527604
446	0.4034379593
447	0.4033940773
448	0.4033169529
449	0.4032850055
450	0.4032570595
451	0.4032115907
452	0.4031481543
453	0.4030976485
454	0.403058994
455	0.40294981
456	0.4029012802
457	0.4028375659
458	0.402775274
459	0.4027204862
460	0.4026387985
461	0.4025786377
462	0.4025427392
463	0.4025105147
464	0.4024773864
465	0.402445184
466	0.402405717
467	0.4023726337
468	0.4022821164
469	0.4021809075
470	0.4021454817
471	0.4021008571
472	0.4020455152
473	0.4019978962
474	0.4019616158
475	0.401919847
476	0.4018756333
477	0.401830698
478	0.4017940338
479	0.4017566457
480	0.401698299
481	0.4016506929
482	0.4016094826
483	0.4015500053
484	0.401496129
485	0.4014597962
486	0.4013621845
487	0.401333769
488	0.4012522233
489	0.401225917
490	0.4011658183
491	0.4011292041
492	0.40108279
493	0.4010486157
494	0.4009757258
495	0.4009423117
496	0.4009096445
497	0.4008565196
498	0.4008104954
499	0.4007230561
500	0.4006940159
501	0.400653055
502	0.400609502
503	0.4005637793
504	0.4004953887
505	0.4004583143
506	0.400398236
507	0.4003634648
508	0.400319365
509	0.4002800103
510	0.4002130991
511	0.40014784
512	0.4001123991
513	0.4000726784
514	0.4000468477
515	0.3999807004
516	0.3998981564
517	0.3998739981
518	0.3998257549
519	0.3998080921
520	0.3997603736
521	0.3997097866
522	0.3996542714
523	0.399597151
524	0.3995513932
525	0.3995099764
526	0.3994658402
527	0.3994120102
528	0.3993839588
529	0.3992778876
530	0.3992237778
531	0.3991871714
532	0.3991375092
533	0.3990647231
534	0.399018436
535	0.3989812901
536	0.3989452124
537	0.3988940274
538	0.3987818608
539	0.39872981
540	0.3987018573
541	0.3986149052
542	0.3985701756
543	0.3985293448
544	0.3984693734
545	0.3984452468
546	0.3983768774
547	0.3983324102
548	0.3982923941
549	0.3982277526
550	0.3981876968
551	0.3981669155
552	0.3981494057
553	0.3981136214
554	0.3980966196
555	0.3980415797
556	0.3979675855
557	0.3979431424
558	0.3979119634
559	0.3978927229
560	0.397833372
561	0.3977739811
562	0.3977394493
563	0.3977212654
564	0.3976873663
565	0.3976518835
566	0.3976083037
567	0.3975775654
568	0.3975411938
569	0.3975160067
570	0.3974600832
571	0.3974204132
572	0.397351675
573	0.3973242252
574	0.3972702235
575	0.397246589
576	0.3971755168
577	0.3971589859
578	0.3971238069
579	0.397075174
580	0.3969858678
581	0.3969328518
582	0.3969120489
583	0.3968910751
584	0.3968014318
585	0.3967746856
586	0.3967521097
587	0.3967133843
588	0.396660507
589	0.3966318279
590	0.3966066476
591	0.3965730977
592	0.3965270136
593	0.3964939467
594	0.3964170819
595	0.3963809101
596	0.396362773
597	0.3963363819
598	0.3962977727
599	0.3962640282
600	0.3962364812
601	0.3961922938
602	0.3961533051
603	0.3961211114
604	0.3960654739
605	0.3960457226
606	0.3960269575
607	0.3959785814
608	0.3959519509
609	0.3959348217
610	0.3959073056
611	0.3958304542
612	0.3958040879
613	0.3957687553
614	0.3957446899
615	0.3957090018
616	0.3956340546
617	0.3956037177
618	0.3955753622
