iter	Passed	Remaining
0	447	223227
1	744	185316
2	1062	176055
3	1431	177466
4	1699	168234
5	1998	164530
6	2429	171088
7	2797	172065
8	3149	171808
9	3465	169813
10	3807	169278
11	4230	172055
12	4643	173945
13	4995	173426
14	5362	173396
15	5714	172849
16	6046	171790
17	6353	170133
18	6687	169296
19	7020	168494
20	7319	166957
21	7698	167278
22	8062	167215
23	8402	166640
24	8715	165587
25	9094	165805
26	9343	163678
27	9665	162936
28	10022	162786
29	10341	162018
30	10667	161390
31	11021	161194
32	11348	160602
33	11673	159997
34	11947	158725
35	12315	158731
36	12646	158257
37	13000	158059
38	13340	157687
39	13604	156451
40	13936	156021
41	14245	155348
42	14589	155058
43	14936	154801
44	15271	154410
45	15632	154288
46	15955	153783
47	16324	153721
48	16595	152748
49	16977	152795
50	17256	151927
51	17574	151413
52	17938	151295
53	18215	150445
54	18513	149794
55	18867	149590
56	19143	148781
57	19502	148621
58	19859	148443
59	20195	148101
60	20581	148120
61	20955	148042
62	21607	149880
63	21978	149728
64	22308	149292
65	22700	149272
66	23062	149046
67	23420	148789
68	23704	148067
69	24043	147696
70	24334	147034
71	24719	146945
72	25014	146318
73	25338	145865
74	25741	145867
75	26109	145665
76	26460	145358
77	26742	144683
78	27383	145927
79	27743	145655
80	28113	145426
81	28616	145873
82	28931	145356
83	29232	144769
84	29741	145209
85	30035	144588
86	30371	144179
87	30760	144016
88	31135	143780
89	31526	143621
90	31917	143455
91	32260	143070
92	32659	142929
93	32986	142474
94	33342	142143
95	33676	141719
96	33986	141199
97	34330	140825
98	34697	140542
99	35070	140283
100	35372	139739
101	35723	139391
102	36070	139030
103	36533	139108
104	36871	138708
105	37274	138549
106	37581	138034
107	38172	138551
108	38532	138222
109	38894	137898
110	39241	137523
111	39808	137908
112	40165	137557
113	40524	137214
114	40880	136860
115	41247	136544
116	41544	135996
117	41899	135639
118	42247	135262
119	42600	134900
120	42990	134656
121	43280	134098
122	43661	133823
123	44048	133565
124	44706	134120
125	45106	133887
126	45439	133456
127	45806	133126
128	46122	132647
129	46520	132403
130	46853	131976
131	47245	131713
132	47594	131332
133	48305	131940
134	48681	131620
135	49008	131170
136	49345	130747
137	49673	130303
138	50038	129955
139	50614	130151
140	51013	129884
141	51329	129407
142	51672	128999
143	52306	129313
144	52690	129001
145	53100	128750
146	53474	128412
147	53832	128034
148	54171	127611
149	54518	127210
150	55171	127516
151	55472	127001
152	55816	126589
153	56174	126210
154	56476	125706
155	56786	125220
156	57182	124928
157	57466	124389
158	57860	124090
159	58239	123759
160	58563	123310
161	58904	122899
162	59192	122379
163	59564	122034
164	59879	121574
165	60201	121129
166	60572	120782
167	61322	121185
168	61740	120924
169	62108	120563
170	62412	120080
171	62885	119921
172	63164	119391
173	63587	119134
174	63941	118748
175	64333	118431
176	64755	118169
177	65165	117883
178	65515	117488
179	65885	117129
180	66262	116783
181	66564	116304
182	67320	116614
183	67630	116147
184	67976	115742
185	68262	115239
186	68608	114836
187	68924	114385
188	69514	114386
189	69815	113910
190	70175	113530
191	70471	113047
192	70843	112689
193	71161	112244
194	71569	111941
195	71879	111486
196	72512	111528
197	72856	111124
198	73249	110794
199	73643	110465
200	73947	110001
201	74268	109564
202	74563	109090
203	74912	108696
204	75712	108952
205	76132	108654
206	76513	108301
207	76901	107958
208	77209	107502
209	77588	107146
210	77935	106746
211	78347	106434
212	78667	105998
213	79055	105654
214	79409	105263
215	79716	104811
216	80107	104471
217	80501	104135
218	80979	103905
219	81352	103540
220	81771	103232
221	82162	102888
222	82546	102534
223	82910	102157
224	83374	101901
225	83763	101553
226	84097	101138
227	84505	100812
228	84890	100460
229	85198	100015
230	85573	99650
231	85941	99277
232	86284	98875
233	86717	98576
234	87075	98191
235	87431	97804
236	87849	97486
237	88374	97286
238	88799	96973
239	89197	96630
240	89586	96277
241	89966	95914
242	90416	95625
243	91295	95785
244	91781	95528
245	92393	95398
246	92804	95059
247	93239	94743
248	93672	94425
249	94279	94279
250	94704	93949
251	95071	93562
252	95451	93187
253	95777	92761
254	96109	92340
255	96551	92025
256	96967	91685
257	97364	91326
258	97700	90910
259	98047	90505
260	98450	90151
261	98851	89796
262	99442	89611
263	99794	89210
264	100229	88883
265	100607	88504
266	101012	88149
267	101366	87750
268	101783	87404
269	102128	86998
270	102530	86640
271	102863	86223
272	103279	85877
273	103645	85488
274	104055	85136
275	104415	84743
276	104841	84403
277	105222	84026
278	105627	83668
279	106022	83303
280	106402	82926
281	106713	82495
282	107109	82130
283	107458	81729
284	107803	81325
285	108218	80974
286	108606	80603
287	108990	80229
288	109418	79887
289	109786	79500
290	110178	79131
291	110595	78780
292	111117	78502
293	111453	78093
294	111805	77695
295	112135	77282
296	112459	76866
297	112830	76482
298	113219	76111
299	113618	75745
300	113850	75270
301	114239	74899
302	114610	74515
303	114920	74093
304	115310	73723
305	115663	73328
306	116043	72952
307	116363	72538
308	116671	72117
309	117040	71734
310	117425	71361
311	117808	70987
312	118189	70611
313	118556	70227
314	118938	69853
315	119308	69470
316	119689	69095
317	120010	68685
318	120337	68279
319	120655	67868
320	121000	67473
321	121401	67110
322	121719	66700
323	122070	66310
324	122389	65902
325	122731	65507
326	123054	65102
327	123428	64724
328	123819	64356
329	124185	63974
330	124590	63612
331	125013	63259
332	125337	62856
333	126189	62717
334	126841	62474
335	127224	62097
336	127952	61887
337	128371	61527
338	128789	61165
339	129216	60807
340	129592	60426
341	129958	60039
342	130283	59634
343	130602	59226
344	130922	58820
345	131665	58602
346	132030	58215
347	132428	57842
348	132801	57458
349	133141	57060
350	133620	56722
351	133938	56315
352	134337	55942
353	134736	55569
354	135079	55173
355	135407	54771
356	135762	54381
357	136416	54109
358	136787	53724
359	137111	53320
360	137453	52925
361	138126	52656
362	138458	52255
363	138777	51851
364	139130	51459
365	139486	51068
366	139883	50693
367	140278	50317
368	140700	49950
369	141103	49576
370	141484	49195
371	141814	48796
372	142214	48421
373	142561	48028
374	142960	47653
375	143261	47245
376	143631	46861
377	144002	46477
378	144384	46096
379	144788	45722
380	145100	45320
381	145671	44998
382	146022	44607
383	146345	44208
384	146789	43846
385	147216	43478
386	147616	43102
387	148043	42734
388	148486	42370
389	148871	41989
390	149190	41590
391	149546	41201
392	149922	40818
393	150283	40431
